"anio";"codigo";"localidad";"EDAD_EPIDEMIO";"sexo";"poblacion"
2022;"02";"02-CABA";"1.0-4";"Ambos sexos";200418
2022;"02";"02-CABA";"1.0-4";"Mujeres";97246
2022;"02";"02-CABA";"1.0-4";"Varones";103172
2022;"02";"02-CABA";"10.45-49";"Ambos sexos";211216
2022;"02";"02-CABA";"10.45-49";"Mujeres";110110
2022;"02";"02-CABA";"10.45-49";"Varones";101106
2022;"02";"02-CABA";"11.50-54";"Ambos sexos";179465
2022;"02";"02-CABA";"11.50-54";"Mujeres";95327
2022;"02";"02-CABA";"11.50-54";"Varones";84138
2022;"02";"02-CABA";"12.55-59";"Ambos sexos";156995
2022;"02";"02-CABA";"12.55-59";"Mujeres";85341
2022;"02";"02-CABA";"12.55-59";"Varones";71654
2022;"02";"02-CABA";"13.60-64";"Ambos sexos";151839
2022;"02";"02-CABA";"13.60-64";"Mujeres";85023
2022;"02";"02-CABA";"13.60-64";"Varones";66816
2022;"02";"02-CABA";"14.De 65 anios y mas";"Ambos sexos";515371
2022;"02";"02-CABA";"14.De 65 anios y mas";"Mujeres";322568
2022;"02";"02-CABA";"14.De 65 anios y mas";"Varones";192803
2022;"02";"02-CABA";"15.TODAS LAS EDADES";"Ambos sexos";3081550
2022;"02";"02-CABA";"15.TODAS LAS EDADES";"Mujeres";1631371
2022;"02";"02-CABA";"15.TODAS LAS EDADES";"Varones";1450179
2022;"02";"02-CABA";"2.5-9";"Ambos sexos";200433
2022;"02";"02-CABA";"2.5-9";"Mujeres";97358
2022;"02";"02-CABA";"2.5-9";"Varones";103075
2022;"02";"02-CABA";"3.10-14";"Ambos sexos";196543
2022;"02";"02-CABA";"3.10-14";"Mujeres";95585
2022;"02";"02-CABA";"3.10-14";"Varones";100958
2022;"02";"02-CABA";"4.15-19";"Ambos sexos";197946
2022;"02";"02-CABA";"4.15-19";"Mujeres";97059
2022;"02";"02-CABA";"4.15-19";"Varones";100887
2022;"02";"02-CABA";"5.20-24";"Ambos sexos";190018
2022;"02";"02-CABA";"5.20-24";"Mujeres";94828
2022;"02";"02-CABA";"5.20-24";"Varones";95190
2022;"02";"02-CABA";"6.25-29";"Ambos sexos";207030
2022;"02";"02-CABA";"6.25-29";"Mujeres";104947
2022;"02";"02-CABA";"6.25-29";"Varones";102083
2022;"02";"02-CABA";"7.30-34";"Ambos sexos";221227
2022;"02";"02-CABA";"7.30-34";"Mujeres";113124
2022;"02";"02-CABA";"7.30-34";"Varones";108103
2022;"02";"02-CABA";"8.35-39";"Ambos sexos";229972
2022;"02";"02-CABA";"8.35-39";"Mujeres";117920
2022;"02";"02-CABA";"8.35-39";"Varones";112052
2022;"02";"02-CABA";"9.40-44";"Ambos sexos";223077
2022;"02";"02-CABA";"9.40-44";"Mujeres";114935
2022;"02";"02-CABA";"9.40-44";"Varones";108142
2022;"06";"06-BUENOS AIRES";"1.0-4";"Ambos sexos";1399003
2022;"06";"06-BUENOS AIRES";"1.0-4";"Mujeres";678715
2022;"06";"06-BUENOS AIRES";"1.0-4";"Varones";720288
2022;"06";"06-BUENOS AIRES";"10.45-49";"Ambos sexos";1118204
2022;"06";"06-BUENOS AIRES";"10.45-49";"Mujeres";568581
2022;"06";"06-BUENOS AIRES";"10.45-49";"Varones";549623
2022;"06";"06-BUENOS AIRES";"11.50-54";"Ambos sexos";954944
2022;"06";"06-BUENOS AIRES";"11.50-54";"Mujeres";489898
2022;"06";"06-BUENOS AIRES";"11.50-54";"Varones";465046
2022;"06";"06-BUENOS AIRES";"12.55-59";"Ambos sexos";851718
2022;"06";"06-BUENOS AIRES";"12.55-59";"Mujeres";443252
2022;"06";"06-BUENOS AIRES";"12.55-59";"Varones";408466
2022;"06";"06-BUENOS AIRES";"13.60-64";"Ambos sexos";772313
2022;"06";"06-BUENOS AIRES";"13.60-64";"Mujeres";408883
2022;"06";"06-BUENOS AIRES";"13.60-64";"Varones";363430
2022;"06";"06-BUENOS AIRES";"14.De 65 anios y mas";"Ambos sexos";2187384
2022;"06";"06-BUENOS AIRES";"14.De 65 anios y mas";"Mujeres";1287123
2022;"06";"06-BUENOS AIRES";"14.De 65 anios y mas";"Varones";900261
2022;"06";"06-BUENOS AIRES";"15.TODAS LAS EDADES";"Ambos sexos";17875743
2022;"06";"06-BUENOS AIRES";"15.TODAS LAS EDADES";"Mujeres";9097695
2022;"06";"06-BUENOS AIRES";"15.TODAS LAS EDADES";"Varones";8778048
2022;"06";"06-BUENOS AIRES";"2.5-9";"Ambos sexos";1447502
2022;"06";"06-BUENOS AIRES";"2.5-9";"Mujeres";702792
2022;"06";"06-BUENOS AIRES";"2.5-9";"Varones";744710
2022;"06";"06-BUENOS AIRES";"3.10-14";"Ambos sexos";1435021
2022;"06";"06-BUENOS AIRES";"3.10-14";"Mujeres";695856
2022;"06";"06-BUENOS AIRES";"3.10-14";"Varones";739165
2022;"06";"06-BUENOS AIRES";"4.15-19";"Ambos sexos";1333655
2022;"06";"06-BUENOS AIRES";"4.15-19";"Mujeres";649357
2022;"06";"06-BUENOS AIRES";"4.15-19";"Varones";684298
2022;"06";"06-BUENOS AIRES";"5.20-24";"Ambos sexos";1297883
2022;"06";"06-BUENOS AIRES";"5.20-24";"Mujeres";636814
2022;"06";"06-BUENOS AIRES";"5.20-24";"Varones";661069
2022;"06";"06-BUENOS AIRES";"6.25-29";"Ambos sexos";1309360
2022;"06";"06-BUENOS AIRES";"6.25-29";"Mujeres";647799
2022;"06";"06-BUENOS AIRES";"6.25-29";"Varones";661561
2022;"06";"06-BUENOS AIRES";"7.30-34";"Ambos sexos";1321978
2022;"06";"06-BUENOS AIRES";"7.30-34";"Mujeres";658246
2022;"06";"06-BUENOS AIRES";"7.30-34";"Varones";663732
2022;"06";"06-BUENOS AIRES";"8.35-39";"Ambos sexos";1237848
2022;"06";"06-BUENOS AIRES";"8.35-39";"Mujeres";620001
2022;"06";"06-BUENOS AIRES";"8.35-39";"Varones";617847
2022;"06";"06-BUENOS AIRES";"9.40-44";"Ambos sexos";1208930
2022;"06";"06-BUENOS AIRES";"9.40-44";"Mujeres";610378
2022;"06";"06-BUENOS AIRES";"9.40-44";"Varones";598552
2022;"10";"10-CATAMARCA";"1.0-4";"Ambos sexos";34207
2022;"10";"10-CATAMARCA";"1.0-4";"Mujeres";16601
2022;"10";"10-CATAMARCA";"1.0-4";"Varones";17606
2022;"10";"10-CATAMARCA";"10.45-49";"Ambos sexos";26514
2022;"10";"10-CATAMARCA";"10.45-49";"Mujeres";13409
2022;"10";"10-CATAMARCA";"10.45-49";"Varones";13105
2022;"10";"10-CATAMARCA";"11.50-54";"Ambos sexos";21762
2022;"10";"10-CATAMARCA";"11.50-54";"Mujeres";10980
2022;"10";"10-CATAMARCA";"11.50-54";"Varones";10782
2022;"10";"10-CATAMARCA";"12.55-59";"Ambos sexos";18765
2022;"10";"10-CATAMARCA";"12.55-59";"Mujeres";9489
2022;"10";"10-CATAMARCA";"12.55-59";"Varones";9276
2022;"10";"10-CATAMARCA";"13.60-64";"Ambos sexos";16829
2022;"10";"10-CATAMARCA";"13.60-64";"Mujeres";8561
2022;"10";"10-CATAMARCA";"13.60-64";"Varones";8268
2022;"10";"10-CATAMARCA";"14.De 65 anios y mas";"Ambos sexos";44507
2022;"10";"10-CATAMARCA";"14.De 65 anios y mas";"Mujeres";24714
2022;"10";"10-CATAMARCA";"14.De 65 anios y mas";"Varones";19793
2022;"10";"10-CATAMARCA";"15.TODAS LAS EDADES";"Ambos sexos";422476
2022;"10";"10-CATAMARCA";"15.TODAS LAS EDADES";"Mujeres";210973
2022;"10";"10-CATAMARCA";"15.TODAS LAS EDADES";"Varones";211503
2022;"10";"10-CATAMARCA";"2.5-9";"Ambos sexos";34013
2022;"10";"10-CATAMARCA";"2.5-9";"Mujeres";16493
2022;"10";"10-CATAMARCA";"2.5-9";"Varones";17520
2022;"10";"10-CATAMARCA";"3.10-14";"Ambos sexos";33093
2022;"10";"10-CATAMARCA";"3.10-14";"Mujeres";16005
2022;"10";"10-CATAMARCA";"3.10-14";"Varones";17088
2022;"10";"10-CATAMARCA";"4.15-19";"Ambos sexos";35009
2022;"10";"10-CATAMARCA";"4.15-19";"Mujeres";16957
2022;"10";"10-CATAMARCA";"4.15-19";"Varones";18052
2022;"10";"10-CATAMARCA";"5.20-24";"Ambos sexos";36415
2022;"10";"10-CATAMARCA";"5.20-24";"Mujeres";17693
2022;"10";"10-CATAMARCA";"5.20-24";"Varones";18722
2022;"10";"10-CATAMARCA";"6.25-29";"Ambos sexos";35134
