"ano" "sexo" "gredad" "codigo" "localidad" "poblacion" "region"
"1" 1990 "Varones" "01.0-4" 1 "01-TOTAL DEL PAÍS" 1725577.21899516 "00.TOTAL DEL PAIS"
"2" 1990 "Varones" "02.5-9" 1 "01-TOTAL DEL PAÍS" 1665735.82807646 "00.TOTAL DEL PAIS"
"3" 1990 "Varones" "03.10-14" 1 "01-TOTAL DEL PAÍS" 1688889.85565609 "00.TOTAL DEL PAIS"
"4" 1990 "Varones" "04.15-19" 1 "01-TOTAL DEL PAÍS" 1415238.13754033 "00.TOTAL DEL PAIS"
"5" 1990 "Varones" "05.20-24" 1 "01-TOTAL DEL PAÍS" 1242905.75481501 "00.TOTAL DEL PAIS"
"6" 1990 "Varones" "06.25-29" 1 "01-TOTAL DEL PAÍS" 1167355.45107182 "00.TOTAL DEL PAIS"
"7" 1990 "Varones" "07.30-34" 1 "01-TOTAL DEL PAÍS" 1084216.05841182 "00.TOTAL DEL PAIS"
"8" 1990 "Varones" "08.35-39" 1 "01-TOTAL DEL PAÍS" 1032540.58532275 "00.TOTAL DEL PAIS"
"9" 1990 "Varones" "09.40-44" 1 "01-TOTAL DEL PAÍS" 927326.306703539 "00.TOTAL DEL PAIS"
"10" 1990 "Varones" "10.45-49" 1 "01-TOTAL DEL PAÍS" 818204.882843125 "00.TOTAL DEL PAIS"
"11" 1990 "Varones" "11.50-54" 1 "01-TOTAL DEL PAÍS" 728589.527755589 "00.TOTAL DEL PAIS"
"12" 1990 "Varones" "12.55-59" 1 "01-TOTAL DEL PAÍS" 672718.635467185 "00.TOTAL DEL PAIS"
"13" 1990 "Varones" "13.60-64" 1 "01-TOTAL DEL PAÍS" 607847.597237745 "00.TOTAL DEL PAIS"
"14" 1990 "Varones" "14.65-69" 1 "01-TOTAL DEL PAÍS" 483069.651456572 "00.TOTAL DEL PAIS"
"15" 1990 "Varones" "15.70-74" 1 "01-TOTAL DEL PAÍS" 342784.019191401 "00.TOTAL DEL PAIS"
"16" 1990 "Varones" "16.75-79" 1 "01-TOTAL DEL PAÍS" 227406.039027479 "00.TOTAL DEL PAIS"
"17" 1990 "Varones" "17.80 y +" 1 "01-TOTAL DEL PAÍS" 166259.450427913 "00.TOTAL DEL PAIS"
"18" 1990 "Mujeres" "01.0-4" 1 "01-TOTAL DEL PAÍS" 1669584.64208938 "00.TOTAL DEL PAIS"
"19" 1990 "Mujeres" "02.5-9" 1 "01-TOTAL DEL PAÍS" 1614534.44237239 "00.TOTAL DEL PAIS"
"20" 1990 "Mujeres" "03.10-14" 1 "01-TOTAL DEL PAÍS" 1649332.38497698 "00.TOTAL DEL PAIS"
"21" 1990 "Mujeres" "04.15-19" 1 "01-TOTAL DEL PAÍS" 1387433.26285074 "00.TOTAL DEL PAIS"
"22" 1990 "Mujeres" "05.20-24" 1 "01-TOTAL DEL PAÍS" 1224401.5491989 "00.TOTAL DEL PAIS"
"23" 1990 "Mujeres" "06.25-29" 1 "01-TOTAL DEL PAÍS" 1168685.34585694 "00.TOTAL DEL PAIS"
"24" 1990 "Mujeres" "07.30-34" 1 "01-TOTAL DEL PAÍS" 1126217.74908963 "00.TOTAL DEL PAIS"
"25" 1990 "Mujeres" "08.35-39" 1 "01-TOTAL DEL PAÍS" 1064548.8108197 "00.TOTAL DEL PAIS"
"26" 1990 "Mujeres" "09.40-44" 1 "01-TOTAL DEL PAÍS" 955576.355131065 "00.TOTAL DEL PAIS"
"27" 1990 "Mujeres" "10.45-49" 1 "01-TOTAL DEL PAÍS" 840595.503756392 "00.TOTAL DEL PAIS"
"28" 1990 "Mujeres" "11.50-54" 1 "01-TOTAL DEL PAÍS" 768449.70977 "00.TOTAL DEL PAIS"
"29" 1990 "Mujeres" "12.55-59" 1 "01-TOTAL DEL PAÍS" 733050.145870421 "00.TOTAL DEL PAIS"
"30" 1990 "Mujeres" "13.60-64" 1 "01-TOTAL DEL PAÍS" 689328.622707374 "00.TOTAL DEL PAIS"
"31" 1990 "Mujeres" "14.65-69" 1 "01-TOTAL DEL PAÍS" 588120.741766816 "00.TOTAL DEL PAIS"
"32" 1990 "Mujeres" "15.70-74" 1 "01-TOTAL DEL PAÍS" 464273.088422359 "00.TOTAL DEL PAIS"
"33" 1990 "Mujeres" "16.75-79" 1 "01-TOTAL DEL PAÍS" 346567.848377163 "00.TOTAL DEL PAIS"
"34" 1990 "Mujeres" "17.80 y +" 1 "01-TOTAL DEL PAÍS" 293488.79694375 "00.TOTAL DEL PAIS"
"35" 1990 "Ambos sexos" "01.0-4" 1 "01-TOTAL DEL PAÍS" 3395161.86108454 "00.TOTAL DEL PAIS"
"36" 1990 "Ambos sexos" "02.5-9" 1 "01-TOTAL DEL PAÍS" 3280270.27044885 "00.TOTAL DEL PAIS"
"37" 1990 "Ambos sexos" "03.10-14" 1 "01-TOTAL DEL PAÍS" 3338222.24063307 "00.TOTAL DEL PAIS"
"38" 1990 "Ambos sexos" "04.15-19" 1 "01-TOTAL DEL PAÍS" 2802671.40039107 "00.TOTAL DEL PAIS"
"39" 1990 "Ambos sexos" "05.20-24" 1 "01-TOTAL DEL PAÍS" 2467307.30401391 "00.TOTAL DEL PAIS"
"40" 1990 "Ambos sexos" "06.25-29" 1 "01-TOTAL DEL PAÍS" 2336040.79692876 "00.TOTAL DEL PAIS"
"41" 1990 "Ambos sexos" "07.30-34" 1 "01-TOTAL DEL PAÍS" 2210433.80750145 "00.TOTAL DEL PAIS"
"42" 1990 "Ambos sexos" "08.35-39" 1 "01-TOTAL DEL PAÍS" 2097089.39614245 "00.TOTAL DEL PAIS"
"43" 1990 "Ambos sexos" "09.40-44" 1 "01-TOTAL DEL PAÍS" 1882902.6618346 "00.TOTAL DEL PAIS"
"44" 1990 "Ambos sexos" "10.45-49" 1 "01-TOTAL DEL PAÍS" 1658800.38659952 "00.TOTAL DEL PAIS"
"45" 1990 "Ambos sexos" "11.50-54" 1 "01-TOTAL DEL PAÍS" 1497039.23752559 "00.TOTAL DEL PAIS"
"46" 1990 "Ambos sexos" "12.55-59" 1 "01-TOTAL DEL PAÍS" 1405768.78133761 "00.TOTAL DEL PAIS"
"47" 1990 "Ambos sexos" "13.60-64" 1 "01-TOTAL DEL PAÍS" 1297176.21994512 "00.TOTAL DEL PAIS"
"48" 1990 "Ambos sexos" "14.65-69" 1 "01-TOTAL DEL PAÍS" 1071190.39322339 "00.TOTAL DEL PAIS"
"49" 1990 "Ambos sexos" "15.70-74" 1 "01-TOTAL DEL PAÍS" 807057.10761376 "00.TOTAL DEL PAIS"
"50" 1990 "Ambos sexos" "16.75-79" 1 "01-TOTAL DEL PAÍS" 573973.887404642 "00.TOTAL DEL PAIS"
"51" 1990 "Ambos sexos" "17.80 y +" 1 "01-TOTAL DEL PAÍS" 459748.247371663 "00.TOTAL DEL PAIS"
"52" 1990 "Varones" "01.0-4" 2 "02-CABA" 95263 "01_CENTRO"
"53" 1990 "Varones" "02.5-9" 2 "02-CABA" 94252 "01_CENTRO"
"54" 1990 "Varones" "03.10-14" 2 "02-CABA" 102834 "01_CENTRO"
"55" 1990 "Varones" "04.15-19" 2 "02-CABA" 104691 "01_CENTRO"
"56" 1990 "Varones" "05.20-24" 2 "02-CABA" 108272 "01_CENTRO"
"57" 1990 "Varones" "06.25-29" 2 "02-CABA" 106288 "01_CENTRO"
"58" 1990 "Varones" "07.30-34" 2 "02-CABA" 99023 "01_CENTRO"
"59" 1990 "Varones" "08.35-39" 2 "02-CABA" 90618 "01_CENTRO"
"60" 1990 "Varones" "09.40-44" 2 "02-CABA" 85487 "01_CENTRO"
"61" 1990 "Varones" "10.45-49" 2 "02-CABA" 79444 "01_CENTRO"
"62" 1990 "Varones" "11.50-54" 2 "02-CABA" 72771 "01_CENTRO"
"63" 1990 "Varones" "12.55-59" 2 "02-CABA" 74077 "01_CENTRO"
"64" 1990 "Varones" "13.60-64" 2 "02-CABA" 74072 "01_CENTRO"
"65" 1990 "Varones" "14.65-69" 2 "02-CABA" 65099 "01_CENTRO"
"66" 1990 "Varones" "15.70-74" 2 "02-CABA" 48652 "01_CENTRO"
"67" 1990 "Varones" "16.75-79" 2 "02-CABA" 35266 "01_CENTRO"
"68" 1990 "Varones" "17.80 y +" 2 "02-CABA" 28707 "01_CENTRO"
"69" 1990 "Mujeres" "01.0-4" 2 "02-CABA" 91888 "01_CENTRO"
"70" 1990 "Mujeres" "02.5-9" 2 "02-CABA" 91316 "01_CENTRO"
"71" 1990 "Mujeres" "03.10-14" 2 "02-CABA" 100038 "01_CENTRO"
"72" 1990 "Mujeres" "04.15-19" 2 "02-CABA" 107610 "01_CENTRO"
"73" 1990 "Mujeres" "05.20-24" 2 "02-CABA" 113026 "01_CENTRO"
"74" 1990 "Mujeres" "06.25-29" 2 "02-CABA" 111817 "01_CENTRO"
"75" 1990 "Mujeres" "07.30-34" 2 "02-CABA" 109541 "01_CENTRO"
"76" 1990 "Mujeres" "08.35-39" 2 "02-CABA" 105688 "01_CENTRO"
"77" 1990 "Mujeres" "09.40-44" 2 "02-CABA" 102249 "01_CENTRO"
"78" 1990 "Mujeres" "10.45-49" 2 "02-CABA" 98984 "01_CENTRO"
"79" 1990 "Mujeres" "11.50-54" 2 "02-CABA" 91504 "01_CENTRO"
"80" 1990 "Mujeres" "12.55-59" 2 "02-CABA" 95587 "01_CENTRO"
"81" 1990 "Mujeres" "13.60-64" 2 "02-CABA" 99779 "01_CENTRO"
"82" 1990 "Mujeres" "14.65-69" 2 "02-CABA" 94518 "01_CENTRO"
"83" 1990 "Mujeres" "15.70-74" 2 "02-CABA" 81049 "01_CENTRO"
"84" 1990 "Mujeres" "16.75-79" 2 "02-CABA" 68621 "01_CENTRO"
"85" 1990 "Mujeres" "17.80 y +" 2 "02-CABA" 67639 "01_CENTRO"
"86" 1990 "Ambos sexos" "01.0-4" 2 "02-CABA" 187151 "01_CENTRO"
"87" 1990 "Ambos sexos" "02.5-9" 2 "02-CABA" 185568 "01_CENTRO"
"88" 1990 "Ambos sexos" "03.10-14" 2 "02-CABA" 202872 "01_CENTRO"
"89" 1990 "Ambos sexos" "04.15-19" 2 "02-CABA" 212301 "01_CENTRO"
"90" 1990 "Ambos sexos" "05.20-24" 2 "02-CABA" 221298 "01_CENTRO"
"91" 1990 "Ambos sexos" "06.25-29" 2 "02-CABA" 218105 "01_CENTRO"
"92" 1990 "Ambos sexos" "07.30-34" 2 "02-CABA" 208564 "01_CENTRO"
"93" 1990 "Ambos sexos" "08.35-39" 2 "02-CABA" 196306 "01_CENTRO"
"94" 1990 "Ambos sexos" "09.40-44" 2 "02-CABA" 187736 "01_CENTRO"
"95" 1990 "Ambos sexos" "10.45-49" 2 "02-CABA" 178428 "01_CENTRO"
"96" 1990 "Ambos sexos" "11.50-54" 2 "02-CABA" 164275 "01_CENTRO"
