"GRUPEDAD";"DEPARTAMENTO";"VALOR";"ANO";"SEXO";"SEXO_ID";"CODDEP";"LINK"
"18.TOTAL";"Colón";31287,0000005635;2010;"Varones";1;8;"30008"
"1.0-4";"Colón";2692,05452967478;2010;"Varones";1;8;"30008"
"2.5-9";"Colón";2713,42806614522;2010;"Varones";1;8;"30008"
"3.10-14";"Colón";2819,1489219832;2010;"Varones";1;8;"30008"
"4.15-19";"Colón";2701,85495048384;2010;"Varones";1;8;"30008"
"5.20-24";"Colón";2522,9553418672;2010;"Varones";1;8;"30008"
"6.25-29";"Colón";2338,57824588301;2010;"Varones";1;8;"30008"
"7.30-34";"Colón";2268,1633903589;2010;"Varones";1;8;"30008"
"8.35-39";"Colón";2136,99674278914;2010;"Varones";1;8;"30008"
"9.40-44";"Colón";1954,91941152518;2010;"Varones";1;8;"30008"
"10.45-49";"Colón";1817,19691837878;2010;"Varones";1;8;"30008"
"11.50-54";"Colón";1640,55812005796;2010;"Varones";1;8;"30008"
"12.55-59";"Colón";1475,77692611511;2010;"Varones";1;8;"30008"
"13.60-64";"Colón";1244,46480365515;2010;"Varones";1;8;"30008"
"14.65-69";"Colón";1061,47864313386;2010;"Varones";1;8;"30008"
"15.70-74";"Colón";812,4018456648;2010;"Varones";1;8;"30008"
"16.75-79";"Colón";548,211277930426;2010;"Varones";1;8;"30008"
"17.80 y más";"Colón";538,811864916987;2010;"Varones";1;8;"30008"
"18.TOTAL";"Colón";31968,0000006008;2011;"Varones";1;8;"30008"
"1.0-4";"Colón";2742,48776515575;2011;"Varones";1;8;"30008"
"2.5-9";"Colón";2720,1490922114;2011;"Varones";1;8;"30008"
"3.10-14";"Colón";2833,81424430892;2011;"Varones";1;8;"30008"
"4.15-19";"Colón";2769,61841292045;2011;"Varones";1;8;"30008"
"5.20-24";"Colón";2597,88771600248;2011;"Varones";1;8;"30008"
"6.25-29";"Colón";2368,1474665698;2011;"Varones";1;8;"30008"
"7.30-34";"Colón";2314,36694960566;2011;"Varones";1;8;"30008"
"8.35-39";"Colón";2227,78758324215;2011;"Varones";1;8;"30008"
"9.40-44";"Colón";2010,61357937618;2011;"Varones";1;8;"30008"
"10.45-49";"Colón";1849,17200917891;2011;"Varones";1;8;"30008"
"11.50-54";"Colón";1675,8763427994;2011;"Varones";1;8;"30008"
"12.55-59";"Colón";1504,49208255886;2011;"Varones";1;8;"30008"
"13.60-64";"Colón";1283,74498582111;2011;"Varones";1;8;"30008"
"14.65-69";"Colón";1102,9125557499;2011;"Varones";1;8;"30008"
"15.70-74";"Colón";844,465971711659;2011;"Varones";1;8;"30008"
"16.75-79";"Colón";565,641147032205;2011;"Varones";1;8;"30008"
"17.80 y más";"Colón";556,822096355936;2011;"Varones";1;8;"30008"
"18.TOTAL";"Colón";32658,0000006348;2012;"Varones";1;8;"30008"
"1.0-4";"Colón";2795,55747447661;2012;"Varones";1;8;"30008"
"2.5-9";"Colón";2731,89588657918;2012;"Varones";1;8;"30008"
"3.10-14";"Colón";2840,52533621725;2012;"Varones";1;8;"30008"
"4.15-19";"Colón";2824,83113628059;2012;"Varones";1;8;"30008"
"5.20-24";"Colón";2684,51444315931;2012;"Varones";1;8;"30008"
"6.25-29";"Colón";2403,94296996069;2012;"Varones";1;8;"30008"
"7.30-34";"Colón";2348,9447059297;2012;"Varones";1;8;"30008"
"8.35-39";"Colón";2318,50927610415;2012;"Varones";1;8;"30008"
"9.40-44";"Colón";2078,31397871315;2012;"Varones";1;8;"30008"
"10.45-49";"Colón";1878,24448577032;2012;"Varones";1;8;"30008"
"11.50-54";"Colón";1715,11452942048;2012;"Varones";1;8;"30008"
"12.55-59";"Colón";1530,73158673506;2012;"Varones";1;8;"30008"
"13.60-64";"Colón";1322,48019821279;2012;"Varones";1;8;"30008"
"14.65-69";"Colón";1144,47170636386;2012;"Varones";1;8;"30008"
"15.70-74";"Colón";879,130687859898;2012;"Varones";1;8;"30008"
"16.75-79";"Colón";584,043125855236;2012;"Varones";1;8;"30008"
"17.80 y más";"Colón";576,748472996524;2012;"Varones";1;8;"30008"
"18.TOTAL";"Colón";33359,0000006757;2013;"Varones";1;8;"30008"
"1.0-4";"Colón";2849,50439886469;2013;"Varones";1;8;"30008"
